"trt","plot","depth","Mg.ha.day","year","block"
"CC","12","5",4.75384582881162e-05,2011,"1"
"CC","12","15",0.0002022422848768,2011,"1"
"CC","12","30",0.000192114467724107,2011,"1"
"CC","12","60",0.000268766609745301,2011,"1"
"CC","12","100",0.000212402379519394,2011,"1"
"CC","21","5",4.67962671647597e-05,2011,"2"
"CC","21","15",0.000222049173974769,2011,"2"
"CC","21","30",0.000172840102654824,2011,"2"
"CC","21","60",0.000268903073901306,2011,"2"
"CC","21","100",0.00022926017228447,2011,"2"
"CC","35","5",4.65072794184461e-05,2011,"3"
"CC","35","15",0.000235156189386665,2011,"3"
"CC","35","30",0.000187636577947729,2011,"3"
"CC","35","60",0.000243464626662293,2011,"3"
"CC","35","100",0.000214935857592801,2011,"3"
"CC","43","5",4.40308555004481e-05,2011,"4"
"CC","43","15",0.000209399848660245,2011,"4"
"CC","43","30",0.000187085700582959,2011,"4"
"CC","43","60",0.000306465710961428,2011,"4"
"CC","43","100",0.000282367012697327,2011,"4"
"CCW","14","5",4.43264944168278e-05,2011,"1"
"CCW","14","15",0.000302835785885864,2011,"1"
"CCW","14","30",0.000217165385113395,2011,"1"
"CCW","14","60",0.000288746006838054,2011,"1"
"CCW","14","100",0.000249619364710546,2011,"1"
"CCW","25","5",4.39711292762521e-05,2011,"2"
"CCW","25","15",0.000302388427359328,2011,"2"
"CCW","25","30",0.000264635655098606,2011,"2"
"CCW","25","60",0.000357723701540078,2011,"2"
"CCW","25","100",0.000308763496303964,2011,"2"
"CCW","36","5",3.9113760880473e-05,2011,"3"
"CCW","36","15",0.000449540056128749,2011,"3"
"CCW","36","30",0.000285555995499817,2011,"3"
"CCW","36","60",0.000328727645661835,2011,"3"
"CCW","36","100",0.000192536261033385,2011,"3"
"CCW","42","5",4.38968645498889e-05,2011,"4"
"CCW","42","15",0.000297865249795647,2011,"4"
"CCW","42","30",0.00019190022828986,2011,"4"
"CCW","42","60",0.000307298426694768,2011,"4"
"CCW","42","100",0.000266329887884128,2011,"4"
"CS","16","5",5.07182084560779e-05,2011,"1"
"CS","16","15",0.000167896990070199,2011,"1"
"CS","16","30",0.000112627107885123,2011,"1"
"CS","16","60",0.000159918630815071,2011,"1"
"CS","16","100",0.00016948343152298,2011,"1"
"CS","22","5",4.86292950052266e-05,2011,"2"
"CS","22","15",0.000148880133957605,2011,"2"
"CS","22","30",0.000130841379749958,2011,"2"
"CS","22","60",0.000155585308862159,2011,"2"
"CS","22","100",0.000203860852944406,2011,"2"
"CS","34","5",5.099355963139e-05,2011,"3"
"CS","34","15",0.000114784554767404,2011,"3"
"CS","34","30",0.000109268440533127,2011,"3"
"CS","34","60",0.000135476035793009,2011,"3"
"CS","34","100",0.000152892642114699,2011,"3"
"CS","45","5",4.94007616207894e-05,2011,"4"
"CS","45","15",0.000153302103569448,2011,"4"
"CS","45","30",0.000114798125436746,2011,"4"
"CS","45","60",0.000160218847458061,2011,"4"
"CS","45","100",0.000135343089324817,2011,"4"
"P","13","5",3.95800853231268e-06,2011,"1"
"P","13","15",0.00136974105260507,2011,"1"
"P","13","30",0.000865124987496549,2011,"1"
"P","13","60",0.000567982144293101,2011,"1"
"P","13","100",0.000531658007280029,2011,"1"
"P","24","5",4.15378240474134e-06,2011,"2"
"P","24","15",0.00146046451276167,2011,"2"
"P","24","30",0.000851671392072168,2011,"2"
"P","24","60",0.000671775705049111,2011,"2"
"P","24","100",0.000456721476367832,2011,"2"
"P","31","5",4.04544731441191e-06,2011,"3"
"P","31","15",0.00142835458346543,2011,"3"
"P","31","30",0.000796425571818628,2011,"3"
"P","31","60",0.000686893033772843,2011,"3"
"P","31","100",0.000440901325155826,2011,"3"
"P","46","5",3.94193494893424e-06,2011,"4"
"P","46","15",0.000979673411020704,2011,"4"
"P","46","30",0.000755394819630883,2011,"4"
"P","46","60",0.000805291423384743,2011,"4"
"P","46","100",0.000613796898771967,2011,"4"
"PF","15","5",2.06122231297202e-06,2011,"1"
"PF","15","15",0.000840485078419969,2011,"1"
"PF","15","30",0.000511620268430266,2011,"1"
"PF","15","60",0.000486727114164775,2011,"1"
"PF","15","100",0.000459603665695232,2011,"1"
"PF","23","5",1.92142104598926e-06,2011,"2"
"PF","23","15",0.000983633316167475,2011,"2"
"PF","23","30",0.000589532168888467,2011,"2"
"PF","23","60",0.000663199106979966,2011,"2"
"PF","23","100",0.000366724035896103,2011,"2"
"PF","32","5",1.99654184422332e-06,2011,"3"
"PF","32","15",0.00106708154228028,2011,"3"
"PF","32","30",0.000686687167635983,2011,"3"
"PF","32","60",0.00059644453398953,2011,"3"
"PF","32","100",0.000453856219296614,2011,"3"
"PF","41","5",2.05584207605549e-06,2011,"4"
"PF","41","15",0.000839500963257588,2011,"4"
"PF","41","30",0.000518417693122987,2011,"4"
"PF","41","60",0.000497473729109235,2011,"4"
"PF","41","100",0.000370706081458114,2011,"4"
"SC","11","5",4.38434581957241e-05,2011,"1"
"SC","11","15",0.000123428124785929,2011,"1"
"SC","11","30",0.000114663341600301,2011,"1"
"SC","11","60",0.000161214083825219,2011,"1"
"SC","11","100",0.000176662899130872,2011,"1"
"SC","26","5",5.00669195954345e-05,2011,"2"
"SC","26","15",0.000134332794777221,2011,"2"
"SC","26","30",0.000114093888860148,2011,"2"
"SC","26","60",0.000146649674281711,2011,"2"
"SC","26","100",0.000185365979581423,2011,"2"
"SC","33","5",4.82495935445651e-05,2011,"3"
"SC","33","15",0.000158638221204232,2011,"3"
"SC","33","30",0.00013661148777989,2011,"3"
"SC","33","60",0.000171158438846331,2011,"3"
"SC","33","100",0.000216667295109548,2011,"3"
"SC","44","5",5.14605536282337e-05,2011,"4"
"SC","44","15",0.000123252472982567,2011,"4"
"SC","44","30",0.000132402728867666,2011,"4"
"SC","44","60",0.000160991207604054,2011,"4"
"SC","44","100",0.000185446786596492,2011,"4"
