"trt","plot","depth","Mg.ha.day","year","block"
"CC","12","5",0.000145385036026237,2009,"1"
"CC","12","15",0.000144028472460512,2009,"1"
"CC","12","30",7.7843763069317e-05,2009,"1"
"CC","12","60",0.00014424708558699,2009,"1"
"CC","12","100",0.000103888348436307,2009,"1"
"CC","21","5",0.000148567484809162,2009,"2"
"CC","21","15",0.000159210192406782,2009,"2"
"CC","21","30",6.94963102254322e-05,2009,"2"
"CC","21","60",0.000145773816945082,2009,"2"
"CC","21","100",0.000112551311338414,2009,"2"
"CC","35","5",0.000149793020051635,2009,"3"
"CC","35","15",0.000170472632643126,2009,"3"
"CC","35","30",7.58924628565459e-05,2009,"3"
"CC","35","60",0.000130552418682387,2009,"3"
"CC","35","100",0.000105186018591763,2009,"3"
"CC","43","5",0.000159990283016441,2009,"4"
"CC","43","15",0.000152203627374537,2009,"4"
"CC","43","30",7.56529167530614e-05,2009,"4"
"CC","43","60",0.00016596660777627,2009,"4"
"CC","43","100",0.000140288747846858,2009,"4"
"CCW","14","5",0.000158802819803763,2009,"1"
"CCW","14","15",0.000223815992010607,2009,"1"
"CCW","14","30",8.88979464510034e-05,2009,"1"
"CCW","14","60",0.000158239468012398,2009,"1"
"CCW","14","100",0.000123103466850572,2009,"1"
"CCW","25","5",0.000160229415814622,2009,"2"
"CCW","25","15",0.000230922717780027,2009,"2"
"CCW","25","30",0.00011052237818401,2009,"2"
"CCW","25","60",0.000188766730961854,2009,"2"
"CCW","25","100",0.000154337902010785,2009,"2"
"CCW","36","5",0.000178414548485196,2009,"3"
"CCW","36","15",0.000342994765380579,2009,"3"
"CCW","36","30",0.00012035336113237,2009,"3"
"CCW","36","60",0.00017729976542374,2009,"3"
"CCW","36","100",9.37640607765414e-05,2009,"3"
"CCW","42","5",0.000160526146282706,2009,"4"
"CCW","42","15",0.000220126980576871,2009,"4"
"CCW","42","30",7.77502379746857e-05,2009,"4"
"CCW","42","60",0.000168044136342157,2009,"4"
"CCW","42","100",0.000131839605463123,2009,"4"
"CS","16","5",0.000131187911783757,2009,"1"
"CS","16","15",0.000117597523954218,2009,"1"
"CS","16","30",4.42443116995013e-05,2009,"1"
"CS","16","60",9.02476309033244e-05,2009,"1"
"CS","16","100",8.21278532004978e-05,2009,"1"
"CS","22","5",0.000140619249748626,2009,"2"
"CS","22","15",0.000102597662129761,2009,"2"
"CS","22","30",5.1756130965871e-05,2009,"2"
"CS","22","60",8.76772370981917e-05,2009,"2"
"CS","22","100",9.95242590565503e-05,2009,"2"
"CS","34","5",0.000129913221309845,2009,"3"
"CS","34","15",7.91059082754738e-05,2009,"3"
"CS","34","30",4.28706973848434e-05,2009,"3"
"CS","34","60",7.75657456454081e-05,2009,"3"
"CS","34","100",7.38262926197523e-05,2009,"3"
"CS","45","5",0.000137183527720654,2009,"4"
"CS","45","15",0.000106063234534985,2009,"4"
"CS","45","30",4.51341002405337e-05,2009,"4"
"CS","45","60",9.01878762632156e-05,2009,"4"
"CS","45","100",6.51099438434368e-05,2009,"4"
"P","13","5",0.00621198060610655,2009,"1"
"P","13","15",0.00185098000193209,2009,"1"
"P","13","30",0.000575351577156756,2009,"1"
"P","13","60",0.00111696851048483,2009,"1"
"P","13","100",0.000280932117496715,2009,"1"
"P","24","5",0.00651930423347412,2009,"2"
"P","24","15",0.00184710813616304,2009,"2"
"P","24","30",0.000551213617012888,2009,"2"
"P","24","60",0.000752089136743433,2009,"2"
"P","24","100",0.00023664959465107,2009,"2"
"P","31","5",0.00634924025921355,2009,"3"
