"trt","plot","depth","Mg.ha.day","year","block"
"CC","12","5",6.53382335892875e-05,2008,"1"
"CC","12","15",6.73410952940361e-05,2008,"1"
"CC","12","30",4.93225754945929e-05,2008,"1"
"CC","12","60",0.000101958198789632,2008,"1"
"CC","12","100",7.27560614473695e-05,2008,"1"
"CC","21","5",6.7895744289358e-05,2008,"2"
"CC","21","15",7.45653951232387e-05,2008,"2"
"CC","21","30",4.39526762279324e-05,2008,"2"
"CC","21","60",0.000103549416619193,2008,"2"
"CC","21","100",7.89049459958916e-05,2008,"2"
"CC","35","5",6.89069258761749e-05,2008,"3"
"CC","35","15",8.00606360369168e-05,2008,"3"
"CC","35","30",4.80655069242251e-05,2008,"3"
"CC","35","60",9.27364762561798e-05,2008,"3"
"CC","35","100",7.36763069198614e-05,2008,"3"
"CC","43","5",7.79628990031662e-05,2008,"4"
"CC","43","15",7.15284949919418e-05,2008,"4"
"CC","43","30",4.7911262250799e-05,2008,"4"
"CC","43","60",0.000116831589408051,2008,"4"
"CC","43","100",9.86810673891563e-05,2008,"4"
"CCW","14","5",7.68434898355616e-05,2008,"1"
"CCW","14","15",0.000105627794133452,2008,"1"
"CCW","14","30",5.64648508299544e-05,2008,"1"
"CCW","14","60",0.00011251305409719,2008,"1"
"CCW","14","100",8.64124158191921e-05,2008,"1"
"CCW","25","5",7.81905539241609e-05,2008,"2"
"CCW","25","15",0.000109903353899875,2008,"2"
"CCW","25","30",7.05413656496999e-05,2008,"2"
"CCW","25","60",0.000129539867248462,2008,"2"
"CCW","25","100",0.000108749936129008,2008,"2"
"CCW","36","5",9.83358293915616e-05,2008,"3"
"CCW","36","15",0.000163204618278559,2008,"3"
"CCW","36","30",7.69876311099767e-05,2008,"3"
"CCW","36","60",0.000123891958600746,2008,"3"
"CCW","36","100",6.55863630895404e-05,2008,"3"
"CCW","42","5",7.84741532286538e-05,2008,"4"
"CCW","42","15",0.000103884944075433,2008,"4"
"CCW","42","30",4.92622994930062e-05,2008,"4"
"CCW","42","60",0.000118842869479925,2008,"4"
"CCW","42","100",9.26426510205108e-05,2008,"4"
"CS","16","5",5.49713302948241e-05,2008,"1"
"CS","16","15",5.4757264243467e-05,2008,"1"
"CS","16","30",2.78287747925406e-05,2008,"1"
"CS","16","60",6.68157161764032e-05,2008,"1"
"CS","16","100",5.73676368655718e-05,2008,"1"
"CS","22","5",6.16793922822477e-05,2008,"2"
"CS","22","15",4.75829667445458e-05,2008,"2"
"CS","22","30",3.26064970169315e-05,2008,"2"
"CS","22","60",6.49151314330779e-05,2008,"2"
"CS","22","100",6.96633904082447e-05,2008,"2"
"CS","34","5",5.41134312792337e-05,2008,"3"
"CS","34","15",3.66884202120101e-05,2008,"3"
"CS","34","30",2.69568125975243e-05,2008,"3"
"CS","34","60",5.80791786893838e-05,2008,"3"
"CS","34","100",5.15182322365642e-05,2008,"3"
"CS","45","5",5.91585465300134e-05,2008,"4"
"CS","45","15",4.92377327911763e-05,2008,"4"
"CS","45","30",2.83938859524947e-05,2008,"4"
"CS","45","60",6.66836054036325e-05,2008,"4"
"CS","45","100",4.53890408170586e-05,2008,"4"
"P","13","5",0.00404064933327211,2008,"1"
"P","13","15",0.00105318244624572,2008,"1"
"P","13","30",0.000419028918207838,2008,"1"
"P","13","60",0.000764044353104019,2008,"1"
"P","13","100",0.000201146248003272,2008,"1"
"P","24","5",0.0042405480949204,2008,"2"
"P","24","15",0.00102579228095112,2008,"2"
"P","24","30",0.000397910502084499,2008,"2"
"P","24","60",0.00054912907615139,2008,"2"
"P","24","100",0.000168474077382861,2008,"2"
"P","31","5",0.00412992996218019,2008,"3"
"P","31","15",0.000840098676352052,2008,"3"
"P","31","30",0.000333565317491832,2008,"3"
"P","31","60",0.000494780159106788,2008,"3"
"P","31","100",0.000161799757350338,2008,"3"
"P","46","5",0.00402423696208467,2008,"4"
"P","46","15",0.00117634031633275,2008,"4"
"P","46","30",0.000297721299245865,2008,"4"
"P","46","60",0.000499485381084304,2008,"4"
"P","46","100",0.000239181042119042,2008,"4"
"PF","15","5",0.00210408371286171,2008,"1"
"PF","15","15",0.000391986826975819,2008,"1"
"PF","15","30",0.000159163374983268,2008,"1"
"PF","15","60",0.000205065617372707,2008,"1"
"PF","15","100",0.000169698080811191,2008,"1"
"PF","23","5",0.0019613633615775,2008,"2"
"PF","23","15",0.000408584463756574,2008,"2"
"PF","23","30",0.000195085839409653,2008,"2"
"PF","23","60",0.000295574548821347,2008,"2"
"PF","23","100",0.000131453576997976,2008,"2"
"PF","32","5",0.0020380524390787,2008,"3"
"PF","32","15",0.00059651754539577,2008,"3"
"PF","32","30",0.000249252676471656,2008,"3"
"PF","32","60",0.000277191119449955,2008,"3"
"PF","32","100",0.000167259739854995,2008,"3"
"PF","41","5",0.00209859136195671,2008,"4"
"PF","41","15",0.000347460746463283,2008,"4"
"PF","41","30",0.000162095753734546,2008,"4"
"PF","41","60",0.000206977297687591,2008,"4"
"PF","41","100",0.000133044696889761,2008,"4"
"SC","11","5",7.86783760384722e-05,2008,"1"
"SC","11","15",4.00028726260784e-05,2008,"1"
"SC","11","30",2.83587680248739e-05,2008,"1"
"SC","11","60",6.597926570286e-05,2008,"1"
"SC","11","100",5.99157766776409e-05,2008,"1"
"SC","26","5",5.70236736219038e-05,2008,"2"
"SC","26","15",4.30076745733685e-05,2008,"2"
"SC","26","30",2.82104468289586e-05,2008,"2"
"SC","26","60",6.13501623825085e-05,2008,"2"
"SC","26","100",6.3018538474925e-05,2008,"2"
"SC","33","5",6.29397843607631e-05,2008,"3"
"SC","33","15",5.20934277992407e-05,2008,"3"
"SC","33","30",3.41376209976218e-05,2008,"3"
"SC","33","60",6.91745429525267e-05,2008,"3"
"SC","33","100",7.4306001281169e-05,2008,"3"
"SC","44","5",5.26710687251339e-05,2008,"4"
"SC","44","15",3.93257485753911e-05,2008,"4"
"SC","44","30",3.30199615588406e-05,2008,"4"
"SC","44","60",6.54626357306119e-05,2008,"4"
"SC","44","100",6.30474188907424e-05,2008,"4"
