"trt","plot","depth","Mg.ha.day","year","block"
"CC","12","5",1.21289096895106e-05,2012,"1"
"CC","12","15",0.000114713813776283,2012,"1"
"CC","12","30",0.000290770475579255,2012,"1"
"CC","12","60",0.000341368079952711,2012,"1"
"CC","12","100",0.000298202282682199,2012,"1"
"CC","21","5",1.18882689489547e-05,2012,"2"
"CC","21","15",0.000125615849554782,2012,"2"
"CC","21","30",0.000263483683851255,2012,"2"
"CC","21","60",0.000340048369353694,2012,"2"
"CC","21","100",0.000320886906464946,2012,"2"
"CC","35","5",1.1795553229437e-05,2012,"3"
"CC","35","15",0.00013246474993981,2012,"3"
"CC","35","30",0.000284469065196933,2012,"3"
"CC","35","60",0.00031191050924668,2012,"3"
"CC","35","100",0.00030162084274769,2012,"3"
"CC","43","5",1.10212828041626e-05,2012,"4"
"CC","43","15",0.000117835579622049,2012,"4"
"CC","43","30",0.000283692266468978,2012,"4"
"CC","43","60",0.000382732818679818,2012,"4"
"CC","43","100",0.000391381665142793,2012,"4"
"CCW","14","5",1.11119368411132e-05,2012,"1"
"CCW","14","15",0.000169330010605539,2012,"1"
"CCW","14","30",0.000325597383169045,2012,"1"
"CCW","14","60",0.000361006775911937,2012,"1"
"CCW","14","100",0.00034808636417168,2012,"1"
"CCW","25","5",1.10030212571797e-05,2012,"2"
"CCW","25","15",0.000167005945451874,2012,"2"
"CCW","25","30",0.000389597038304589,2012,"2"
"CCW","25","60",0.000443051735046185,2012,"2"
"CCW","25","100",0.000425868409795778,2012,"2"
"CCW","36","5",9.57207562152583e-06,2012,"3"
"CCW","36","15",0.000248357791131125,2012,"3"
"CCW","36","30",0.00041696340418115,2012,"3"
"CCW","36","60",0.000407917072274928,2012,"3"
"CCW","36","100",0.000271281033816514,2012,"3"
"CCW","42","5",1.09803407851905e-05,2012,"4"
"CCW","42","15",0.000166555201522077,2012,"4"
"CCW","42","30",0.000290469516044304,2012,"4"
"CCW","42","60",0.000382067158034604,2012,"4"
"CCW","42","100",0.00037024952039716,2012,"4"
"CS","16","5",1.32072675944881e-05,2012,"1"
"CS","16","15",9.58572306791285e-05,2012,"1"
"CS","16","30",0.00017551385906573,2012,"1"
"CS","16","60",0.000205147687545803,2012,"1"
"CS","16","100",0.000239787124514492,2012,"1"
"CS","22","5",1.24896276083124e-05,2012,"2"
"CS","22","15",8.55505117064598e-05,2012,"2"
