"day","trt","depth","Mg.ha.day","Mg.ha.day.se"
"0","CC","100",0.0712122019989444,0.00541700802077962
"0","CC","15",0.020898454504175,0.000768411454658363
"0","CC","30",0.0314178559175495,0.000784209269895513
"0","CC","5",0.0134019940385265,0.000610874776383927
"0","CC","60",0.0905173543745533,0.0050021928772825
"0","CCW","100",0.0778125940098865,0.00800143000266194
"0","CCW","15",0.0345323268236654,0.00410153316694682
"0","CCW","30",0.0422896117679039,0.00432509049006839
"0","CCW","5",0.0163563501587094,0.00121971734145799
"0","CCW","60",0.107596968661664,0.00390252524632864
"0","CS","100",0.0489579950779472,0.00458018298709336
"0","CS","15",0.0133502269686645,0.00107747209374902
"0","CS","30",0.0191089582102954,0.000836855690291794
"0","CS","5",0.0107031248406204,0.00037320096027919
"0","CS","60",0.0494668093323183,0.00240775937241113
"0","P","100",0.173725424860715,0.0167338208544216
"0","P","15",0.322960109034384,0.0288486400756817
"0","P","30",0.27186433489238,0.024399974975096
"0","P","5",0.152705394433236,0.00184569168841767
"0","P","60",0.410591855912566,0.0329016676878248
"0","PF","100",0.134219873124482,0.00965755003263375
"0","PF","15",0.128322382588057,0.0172335489304537
"0","PF","30",0.1339767253252,0.015812565699263
"0","PF","5",0.0762101342050984,0.00123655513356256
"0","PF","60",0.211718921741233,0.0189309766931338
"0","SC","100",0.0570017357016753,0.0028129356939691
"0","SC","15",0.0123734213426136,0.000840287284191567
"0","SC","30",0.0204328982422533,0.00103102523239002
"0","SC","5",0.0118727454342245,0.00123423030598134
"0","SC","60",0.0509389937630796,0.00180403806653226
"1","CC","100",0.0712858959322945,0.00542252629508911
"1","CC","15",0.0209562706659303,0.000770526721901951
"1","CC","30",0.0314597110027331,0.000785242127541559
"1","CC","5",0.0134532374137569,0.000613044527869751
"1","CC","60",0.090608455255993,0.00500706518455184
"1","CCW","100",0.077892994194978,0.00800957942605116
"1","CCW","15",0.0346275792901512,0.00411280257876962
"1","CCW","30",0.042345692513348,0.00433073752340967
"1","CCW","5",0.0164179350480256,0.00122390223042321
"1","CCW","60",0.107704632096338,0.0039062828612939
"1","CS","100",0.049008880719284,0.00458489569659838
"1","CS","15",0.0133872538322146,0.00108045348856874
"1","CS","30",0.0191345329018552,0.000837967135867154
"1","CS","5",0.0107446242847447,0.000374566755920536
"1","CS","60",0.049517313131575,0.00241017985982062
"1","P","100",0.173901449151284,0.0167501501464688
"1","P","15",0.323798378819692,0.0289116708844883
"1","P","30",0.272192809182002,0.0244262599072165
"1","P","5",0.15431024681062,0.00186508945150585
"1","P","60",0.41095814500023,0.0329263087686053
"1","PF","100",0.134357024497942,0.0096671584159757
"1","PF","15",0.128670377803648,0.017278513013272
"1","PF","30",0.134147938877645,0.0158315964903395
"1","PF","5",0.0770110516122832,0.00124955066730363
"1","PF","60",0.211922721593655,0.0189478129580023
"1","SC","100",0.057060898476264,0.00281582015868304
"1","SC","15",0.0124077316604405,0.000842606885808753
"1","SC","30",0.0204602307882325,0.00103239385189679
"1","SC","5",0.0119184320665935,0.00123866590689651
"1","SC","60",0.0509909772414587,0.00180584752697619
"2","CC","100",0.071359665039575,0.00542805001753364
"2","CC","15",0.0210142361259932,0.000772647393102053
"2","CC","30",0.0315016211852217,0.000786276313157443
"2","CC","5",0.0135046581501558,0.000615220523550427
"2","CC","60",0.0906996449154349,0.00501194191367184
"2","CCW","100",0.0779734761387472,0.00801773689220722
"2","CCW","15",0.0347230761685068,0.0041241006640904
"2","CCW","30",0.0424018463995326,0.00433639168652578
"2","CCW","5",0.0164797259339217,0.00122809807238854
"2","CCW","60",0.10781239919278,0.00391004379930284
"2","CS","100",0.0490598187286766,0.00458961315671077
"2","CS","15",0.0134243768269005,0.00108344258516951
"2","CS","30",0.0191601415744983,0.000839080035276475
"2","CS","5",0.0107862718271662,0.000375936795113465
"2","CS","60",0.0495678676131308,0.00241260269903055
"2","P","100",0.174077645398822,0.0167664941235024
"2","P","15",0.324638529291398,0.0289747832071003
"2","P","30",0.272521634614926,0.0244525651689881
"2","P","5",0.155931286544681,0.00188468287623221
"2","P","60",0.411324707559685,0.0329509598362311
"2","PF","100",0.134494312209121,0.00967677581846779
"2","PF","15",0.129019233711276,0.017323578749446
"2","PF","30",0.134319359273566,0.0158506472776129
"2","PF","5",0.0778200473607063,0.00126267728057728
"2","PF","60",0.212126702220068,0.0189646614806399
"2","SC","100",0.0571201219639435,0.00281870751057672
"2","SC","15",0.0124421310156488,0.000844932449074197
"2","SC","30",0.0204875996133367,0.00103376425974389
"2","SC","5",0.0119642791007454,0.001243114675464
"2","SC","60",0.0510430128392531,0.00180765873713155
"3","CC","100",0.0714335093952174,0.00543357919313354
"3","CC","15",0.0210723512109051,0.000774773479755752
"3","CC","30",0.0315435865357785,0.00078731182836422
"3","CC","5",0.0135562567195233,0.00061740277031526
"3","CC","60",0.0907909234335363,0.00501682306800314
"3","CCW","100",0.0780540399216178,0.00802590240853557
"3","CCW","15",0.0348188179846781,0.00413542748326467
"3","CCW","30",0.0424580735185906,0.00434205298777303
"3","CCW","5",0.0165417233107522,0.00123230487069817
"3","CCW","60",0.107920270042658,0.00391380806270283
"3","CS","100",0.0491108091589354,0.00459433537201469
"3","CS","15",0.0134615961658646,0.00108643940041255
"3","CS","30",0.0191857842727136,0.000840194390361751
"3","CS","5",0.0108280678969879,0.00037731108522846
"3","CS","60",0.0496184728260493,0.00241502789215936
"3","P","100",0.174254013758371,0.0167828527961972
"3","P","15",0.325480563149955,0.0290379768568558
"3","P","30",0.272850811456541,0.0244788907565738
"3","P","5",0.157568662582052,0.00190447376303032
"3","P","60",0.411691543700544,0.0329756208792318
"3","PF","100",0.134631736385766,0.00968640224747055
"3","PF","15",0.129368951989723,0.0173687462854668
"3","PF","30",0.134490986732417,0.0158697180746727
"3","PF","5",0.0786371957811793,0.00127593617950077
"3","PF","60",0.212330863751263,0.0189815222647125
"3","SC","100",0.0571794062255797,0.00282159775239344
"3","SC","15",0.0124766196054248,0.000847263986868897
"3","SC","30",0.0205150047649627,0.00103513645819202
"3","SC","5",0.0120102869815109,0.00124757662967016
"3","SC","60",0.0510951006068198,0.00180947169855715
"4","CC","100",0.0715074290737224,0.00543911382691303
"4","CC","15",0.0211306162475937,0.000776904993371794
"4","CC","30",0.0315856071252532,0.000788348674784701
"4","CC","5",0.0136080335938182,0.000619591274969408
"4","CC","60",0.0908822908910161,0.0050217086509076
"4","CCW","100",0.0781346856240864,0.00803407598244741
"4","CCW","15",0.034914805265181,0.0041467830967053
"4","CCW","30",0.0425143739627627,0.00434772143551576
"4","CCW","5",0.0166039276725759,0.0012365226284827
"4","CCW","60",0.108028244737702,0.00391757565384171
"4","CS","100",0.0491618520629218,0.00459906234709827
"4","CS","15",0.0134989120625186,0.00108944395117913
"4","CS","30",0.0192114610410465,0.000841310202967133
"4","CS","5",0.0108700129237801,0.000378689633601241
"4","CS","60",0.049669128819438,0.00241745544132707
"4","P","100",0.174430554385086,0.0167992261752308
"4","P","15",0.326324483091752,0.0291012516453004
"4","P","30",0.273180339972169,0.0245052366660784
"4","P","5",0.159222524937232,0.00192446392524284
"4","P","60",0.41205865353229,0.0330002918861039
"4","PF","100",0.134769297155728,0.00969603771034829
"4","PF","15",0.129719534318593,0.017414015767579
"4","PF","30",0.134662821473807,0.0158888088950977
"4","PF","5",0.079462571737409,0.00128932857883856
"4","PF","60",0.212535206318067,0.018998395313876
"4","SC","100",0.0572387513220963,0.00282449088687873
"4","SC","15",0.0125111976272027,0.000849601512088125
"4","SC","30",0.0205424462905671,0.00103651044950456
"4","SC","5",0.0120564561540392,0.00125205178735276
"4","SC","60",0.0511472405945606,0.00181128641281287
"5","CC","100",0.0715814241496593,0.00544465392390017
"5","CC","15",0.0211890315633714,0.000779041945470537
"5","CC","30",0.0316276830245815,0.000789386854043439
"5","CC","5",0.0136599892451478,0.000621786044233062
"5","CC","60",0.0909737473686548,0.00502659866574826
"5","CCW","100",0.0782154133267238,0.00804225762135959
"5","CCW","15",0.035011038537099,0.00415816756488211
"5","CCW","30",0.0425707478243967,0.00435339703812642
"5","CCW","5",0.0166663395131418,0.00124075134865754
"5","CCW","60",0.108136323369708,0.00392134657506771
"5","CS","100",0.0492129474935482,0.00460379408655365
"5","CS","15",0.0135363247305428,0.00109245625437045
"5","CS","30",0.0192371719240988,0.000842427474938953
"5","CS","5",0.0109121073375736,0.000380072447532284
"5","CS","60",0.0497198356424481,0.00241988534865527
"5","P","100",0.174607267434234,0.0168156142712832
"5","P","15",0.327170291809061,0.0291646073821816
"5","P","30",0.273510220427063,0.0245316028935486
"5","P","5",0.160893024693636,0.00194465518913402
"5","P","60",0.412426037164279,0.0330249728453111
"5","PF","100",0.134906994646962,0.00970568221446897
"5","PF","15",0.130070982378293,0.0174593873417776
"5","PF","30",0.134834863717502,0.0159079197524555
"5","PF","5",0.080296250626518,0.00130285570201081
"5","PF","60",0.212739730051345,0.0190152806317761
"5","SC","100",0.0572981573144752,0.00282738691678049
"5","SC","15",0.0125458652786637,0.000851945037641354
"5","SC","30",0.0205699242376669,0.00103788623594753
"5","SC","5",0.0121027870637906,0.0012565401661993
"5","SC","60",0.0511994328529221,0.00181310288145974
"6","CC","100",0.0716554946976671,0.00545019948912695
"6","CC","15",0.0212475974859332,0.000781184347583873
"6","CC","30",0.0316698143047857,0.000790426367766751
"6","CC","5",0.0137121241457586,0.000623987084740633
"6","CC","60",0.0910652929472942,0.00503149311588937
"6","CCW","100",0.0782962231101739,0.00805044733269471
"6","CCW","15",0.0351075183280806,0.00416958094832153
"6","CCW","30",0.0426271951959483,0.00435907980398551
"6","CCW","5",0.0167289593258762,0.00124499103392128
"6","CCW","60",0.108244506030538,0.00392512082872956
"6","CS","100",0.0492640955037781,0.00460853059497692
"6","CS","15",0.0135738343838853,0.0010954763269076
"6","CS","30",0.0192629169665291,0.000843546208125718
"6","CS","5",0.010954351568854,0.000381459534286349
"6","CS","60",0.0497705933442749,0.00242231761626709
"6","P","100",0.174784153061199,0.0168320170950367
"6","P","15",0.32801799198999,0.0292280438754443
"6","P","30",0.273840453086407,0.0245579894349727
"6","P","5",0.16258031400446,0.00196504939390041
"6","P","60",0.412793694705736,0.0330496637452843
