year	trt	plot	depth	oc
2013	CC	35	100	0.44
2013	CCW	36	5	1.6
2013	CCW	36	15	1.47
2013	CCW	36	60	1.84
2013	CCW	36	100	1.71
2013	PF	41	5	2.29
2013	PF	41	15	2.5
2013	PF	41	30	0.64
2013	PF	41	60	0.38
2013	PF	41	100	2.07
2013	CCW	42	5	2.1
2013	CCW	42	30	1.65
2013	CCW	42	60	0.9
2013	CCW	42	100	0.3
2013	CC	43	5	1.8
2013	CC	43	15	1.91
2013	CC	43	30	1.54
2013	CC	43	60	0.81
2013	CC	43	100	0.37
2013	C2	44	5	2.21
2013	C2	44	15	1.83
2013	C2	44	30	1.74
2013	C2	44	60	1.06
2013	C2	44	100	0.47
2013	S2	45	5	1.55
2013	S2	45	15	1.52
2013	S2	45	30	1.46
2013	S2	45	60	0.9
2013	S2	45	100	0.44
2013	P	46	5	2.1
2013	P	46	15	1.67
2013	P	46	30	1.54
2013	P	46	60	0.87
2013	P	46	100	0.5
