"year" "plot" "trt" "depth" "BD" "TN" "TC" "IC" "OC" "CN" "oCN"
"2008" "24" "P" "100" 1.5331199875 0.0545 0.79045 0.485 0.30545 20.073914635 5.4213466595
"2008" "25" "CCW" "5" 1.41238803025 0.2528238095 3.04219841375 0 3.04219841375 11.9940297475 11.9940297475
"2008" "25" "CCW" "15" 1.44048866325 0.23304695375 2.775582515 0 2.775582515 11.8749868875 11.8749868875
"2008" "25" "CCW" "30" 1.5334636815 0.1812133535 2.1849592615 0 2.1849592615 12.07456321 12.07456321
"2008" "25" "CCW" "60" 1.381691251 0.08685 0.83615 0 0.83615 9.60601312 9.60601312
"2008" "25" "CCW" "100" 1.547002429 0.0508 0.36505 0 0.36505 7.241149398 7.241149398
"2008" "26" "S2" "5" 1.10202176 0.25720680625 3.01720578175 0.11475 2.90245578175 11.7108276875 11.27572773
"2008" "26" "S2" "15" 1.3391296485 0.249689277 2.9188420785 0.14125 2.7775920785 11.6979392 11.15876482475
"2008" "26" "S2" "30" 1.52973964425 0.18871565075 2.23922473 0.5065 1.73272473 11.81507575 9.295756471
"2008" "26" "S2" "60" 1.4527839235 0.1054 1.5665 0.335 1.2315 15.0058234 11.87247316
"2008" "26" "S2" "100" 1.6124012855 0.0501 1.0846 0.895 0.1896 20.66037954 3.327255596
"2008" "31" "P" "5" 1.11911265875 0.2896942125 3.4844786565 0 3.4844786565 12.0138084325 12.0138084325
"2008" "31" "P" "15" 1.41015800225 0.24066126375 2.88126264925 0 2.88126264925 11.933902625 11.933902625
"2008" "31" "P" "30" 1.48365890025 0.2025177655 2.3131061875 0 2.3131061875 11.3974173925 11.3974173925
"2008" "31" "P" "60" 1.4233622255 0.1067 1.132 0 1.132 10.609569535 10.609569535
"2008" "31" "P" "100" 1.5451772955 0.04375 1.614 1.375 0.239 37.50511408 5.410962497
"2008" "32" "PF" "5" 1.2685039475 0.23919057575 2.90677128675 0 2.90677128675 12.091960075 12.091960075
"2008" "32" "PF" "15" 1.41381215375 0.23605718225 2.804328657 0 2.804328657 11.8088499225 11.8088499225
"2008" "32" "PF" "30" 1.52523893425 0.17348320925 2.096485473 0 2.096485473 11.97014262 11.97014262
"2008" "32" "PF" "60" 1.545192207 0.08975 1.09055 0.16 0.93055 12.54787522 9.8767566905
"2008" "32" "PF" "100" 1.470423515 0.04785 1.8915 1.2 0.6915 42.52799637 13.4723062955
"2008" "33" "S2" "5" 1.23127871375 0.22479776575 2.58224153125 0 2.58224153125 11.49457484 11.49457484
"2008" "33" "S2" "15" 1.400903481 0.21338970925 2.5570293645 0 2.5570293645 11.98634049 11.98634049
"2008" "33" "S2" "30" 1.51831986825 0.16843432425 1.99973482 0 1.99973482 11.8424111075 11.8424111075
"2008" "33" "S2" "60" 1.414600991 0.1066 0.9928 0 0.9928 9.223219488 9.223219488
"2008" "33" "S2" "100" 1.5516276345 0.0372 2.8715 2.445 0.4265 77.042943895 11.3590225545
"2008" "34" "C2" "5" 1.27865988475 0.22821064 2.6791322865 0 2.6791322865 11.6583708875 11.6583708875
"2008" "34" "C2" "15" 1.40000249025 0.21452835625 2.56072655825 0 2.56072655825 11.8938077075 11.8938077075
"2008" "34" "C2" "30" 1.49463926725 0.19367314 2.34204914725 0 2.34204914725 12.0123619975 12.0123619975
"2008" "34" "C2" "60" 1.4889274985 0.1158 1.2185 0 1.2185 10.475549739 10.475549739
"2008" "34" "C2" "100" 1.6024407525 0.0469 1.15995 0.73 0.42995 28.781111747 8.944155225
"2008" "35" "CC" "5" 1.2691714665 0.2171162555 2.593825796 0 2.593825796 11.91282572 11.91282572
"2008" "35" "CC" "15" 1.40680378875 0.20135716925 2.357150844 0 2.357150844 11.6716553225 11.6716553225
"2008" "35" "CC" "30" 1.4883017175 0.200680837 2.555250775 0 2.555250775 12.70014568 12.70014568
"2008" "35" "CC" "60" 1.3531570785 0.15655 2.031 0.005 2.026 12.95316925 12.922884575
"2008" "35" "CC" "100" 1.497341356 0.07425 0.75035 0 0.75035 9.9267656265 9.9267656265
"2008" "36" "CCW" "5" 1.54253837025 0.144615199 1.59077898625 0 1.59077898625 10.96439048 10.96439048
"2008" "36" "CCW" "15" 1.53586523475 0.12729713225 1.3735417275 0 1.3735417275 10.76200786 10.76200786
"2008" "36" "CCW" "30" 1.6457607835 0.13167282925 1.4585154365 0 1.4585154365 10.9525799675 10.9525799675
"2008" "36" "CCW" "60" 1.4313606645 0.10175 1.01705 0 1.01705 9.779475062 9.779475062
"2008" "36" "CCW" "100" 1.668594369 0.0486 0.3924 0 0.3924 8.074074074 8.074074074
"2008" "41" "PF" "5" 1.26563832775 0.21972169025 2.65371702975 0 2.65371702975 12.120134615 12.120134615
