"Asym","xmid","scal","plot","trt","depth"
1.92238127575173,297.514402559116,92.0065635097749,"23","PF",5
1.99754660184205,297.514402559008,92.0065240013115,"32","PF",5
2.06226591865632,297.514402558912,92.0064895045242,"15","PF",5
2.05688271024384,297.514402558915,92.0064908635732,"41","PF",5
3.9442790288353,297.514402556165,92.0054920494455,"46","P",5
4.04787329706221,297.514402556009,92.0054352627617,"31","P",5
4.15629495407201,297.514402555847,92.0053765570416,"24","P",5
3.96036551337413,297.51440255614,92.0054825142637,"13","P",5
0.143560664880664,620.66627227627,239.451118127074,"34","CS",5
0.144318330165355,617.49415123821,239.451118127074,"16","CS",5
0.147893571009259,602.525541534496,239.451118127074,"45","CS",5
0.146095331384692,610.054305544932,239.451118127074,"26","SC",5
0.142266057991935,626.086494432108,239.451118127074,"44","SC",5
0.149955852474012,593.892088368789,239.451118127074,"22","CS",5
0.155543713886201,570.496284150404,239.451118127074,"35","CC",5
0.150963502110341,589.672715280328,239.451118127074,"33","SC",5
0.152841017790646,581.812378068518,239.451118127074,"12","CC",5
0.154788486013886,573.65898935784,239.451118127074,"21","CC",5
0.161214305425779,546.755835956261,239.451118127074,"14","CCW",5
0.162466283964391,541.514200218693,239.451118127074,"11","SC",5
0.161980462656213,543.547785640327,239.451118127074,"43","CC",5
0.16232798418123,542.093474433793,239.451118127074,"42","CCW",5
0.174793441870204,489.902109797834,239.451118127074,"36","CCW",5
0.16213542279051,542.899429330345,239.451118127074,"25","CCW",5
0.175049112580802,937.555067010243,339.449526131431,"34","CS",15
0.257486818883526,931.685723713224,339.449526131431,"16","CS",15
0.234102402320269,936.141666387955,339.449526131431,"45","CS",15
0.204954112903449,937.07241752328,339.449526131431,"26","SC",15
0.187871833818249,938.068713829198,339.449526131431,"44","SC",15
0.227041226705313,937.575759693847,339.449526131431,"22","CS",15
0.365102618007171,919.254753452214,339.449526131431,"35","CC",15
0.243757862022122,929.695846264204,339.449526131431,"33","SC",15
0.311988892830074,925.671095746153,339.449526131431,"12","CC",15
0.343379092833518,923.221915022545,339.449526131431,"21","CC",15
0.473549797835691,912.303778627408,339.449526131431,"14","CCW",15
0.188957396737317,933.508017108505,339.449526131431,"11","SC",15
0.325428770109932,918.300166010699,339.449526131431,"43","CC",15
0.465765057174996,912.329015926588,339.449526131431,"42","CCW",15
0.711534369700505,900.871223500132,339.449526131431,"36","CCW",15
0.478785512795178,900.555823523295,339.449526131431,"25","CCW",15
1.62623355057649,863.031188190783,339.449526131431,"23","PF",15
1.96892241198456,782.183818357441,339.449526131431,"32","PF",15
1.44725467604612,831.13492269074,339.449526131431,"15","PF",15
1.38625012232437,864.032048732551,339.449526131431,"41","PF",15
2.58148147086634,581.900437991422,339.449526131431,"46","P",15
2.69015726582835,768.624284908082,339.449526131431,"31","P",15
2.96587982727923,721.709930381084,339.449526131431,"24","P",15
2.89674811301886,697.993492137677,339.449526131431,"13","P",15
2.68835296754268,3720.4200920145,742.333521238204,"34","CS",30
2.68835296754268,3696.42059379899,742.333521238204,"16","CS",30
2.68835296754268,3681.25881031247,742.333521238204,"45","CS",30
2.68835296754268,3686.14763738542,742.333521238204,"26","SC",30
2.68835296754268,3567.25592781438,742.333521238204,"44","SC",30
2.68835296754268,3576.78501427576,742.333521238204,"22","CS",30
2.68835296754268,3282.12853121038,742.333521238204,"35","CC",30
2.68835296754268,3542.07152381831,742.333521238204,"33","SC",30
2.68835296754268,3262.42374818578,742.333521238204,"12","CC",30
2.68835296754268,3350.29350432462,742.333521238204,"21","CC",30
2.68835296754268,3158.95441976979,742.333521238204,"14","CCW",30
2.68835296754268,3682.19232703417,742.333521238204,"11","SC",30
2.68835296754268,3284.58075307724,742.333521238204,"43","CC",30
2.68835296754268,3263.35739310038,742.333521238204,"42","CCW",30
2.68835296754268,2919.85589736696,742.333521238204,"36","CCW",30
2.68835296754268,2987.60020596317,742.333521238204,"25","CCW",30
2.68835296754268,2174.62927372613,742.333521238204,"23","PF",30
2.68835296754268,1965.22590445904,742.333521238204,"32","PF",30
2.68835296754268,2343.1058509695,742.333521238204,"15","PF",30
2.68835296754268,2328.15640579917,742.333521238204,"41","PF",30
2.68835296754268,1807.25871292079,742.333521238204,"46","P",30
2.68835296754268,1702.60784731438,742.333521238204,"31","P",30
2.68835296754268,1532.8711177787,742.333521238204,"24","P",30
2.68835296754268,1480.98261401652,742.333521238204,"13","P",30
2.97343523849488,4081.73759278332,963.539778102991,"34","CS",60
2.97343523849488,3869.67912286541,963.539778102991,"16","CS",60
2.97343523849488,3874.80031642323,963.539778102991,"45","CS",60
2.97343523849488,3995.2499176118,963.539778102991,"26","SC",60
2.97343523849488,3903.1849566788,963.539778102991,"44","SC",60
2.97343523849488,3911.02219108617,963.539778102991,"22","CS",60
2.97343523849488,3464.49055073513,963.539778102991,"35","CC",60
2.97343523849488,3824.84070105472,963.539778102991,"33","SC",60
2.97343523849488,3356.42221595879,963.539778102991,"12","CC",60
2.97343523849488,3336.25461661599,963.539778102991,"21","CC",60
2.97343523849488,3248.85448724194,963.539778102991,"14","CCW",60
2.97343523849488,3891.73329199706,963.539778102991,"11","SC",60
2.97343523849488,3199.54166549995,963.539778102991,"43","CC",60
2.97343523849488,3188.59163880869,963.539778102991,"42","CCW",60
2.97343523849488,3142.90758258442,963.539778102991,"36","CCW",60
2.97343523849488,3077.44064131834,963.539778102991,"25","CCW",60
2.97343523849488,2292.17298751573,963.539778102991,"23","PF",60
2.97343523849488,2362.29836149213,963.539778102991,"32","PF",60
