"trt","plot","depth","root","rootC","carbon"
"CC",12,2.5,0.0770951035,0.02558786485165,"15.153042887325"
"CC",12,10,0.12976694925,0.0437574152871,"16.379536941575"
"CC",12,22.5,0.111228813583333,0.0416996822123917,"15.5731476355125"
"CC",12,45,0.0800768989166667,0.0313260828562,"8.584315623125"
"CC",21,2.5,0.2236346515,0.0855178907336,"12.42101745"
"CC",21,10,0.154896421875,0.0582255649828125,"13.88338628085"
"CC",21,22.5,0.105029817833333,0.03664490344205,"11.09540376555"
"CC",21,45,0.085567718125,0.0319595427196875,"5.67331883625"
"CC",21,80,0.049140772125,0.0183196798482,"2.596794577825"
"CC",35,2.5,0.1902071565,0.0654693032673,"14.3692160887625"
"CC",35,10,0.223987758875,0.0876912075995625,"15.8123652525"
"CC",35,22.5,0.109737915916667,0.0418869625053917,"15.827789835"
"CC",35,45,0.0781936597916667,0.0307144695661667,"9.77070227"
"CC",35,80,0.05554084275,0.02100554672805,"3.37918610315"
"CC",43,2.5,0.1208804145,0.0398421846192,"12.637083339"
"CC",43,10,0.152777777875,0.0604847222607125,"13.690677582975"
"CC",43,22.5,0.103538920333333,0.0360936676282,"11.611661497975"
"CC",43,45,0.108776679208333,0.045490407244925,"6.210530080875"
"CC",43,80,0.083612876625,0.03307725399285,"3.0096418977625"
"P",13,2.5,2.6936205275,1.09334057211225,"14.6931652537"
"P",13,10,1.334922316375,0.5361048022562,"19.276575604125"
"P",13,22.5,0.526522285,0.1981303358455,"13.7521569131625"
"P",13,45,0.2866250785,0.1198666078287,"8.17446922275"
"P",13,80,0.13009063090625,0.0522313883088594,"3.8255348970875"
"P",24,2.5,2.9770480225,1.2807260592795,"15.351056080075"
"P",24,10,1.2317561205,0.53470533190905,"16.4607828511"
"P",24,22.5,0.600949466416667,0.240019216886817,"11.941834472"
"P",24,45,0.174474262416667,0.0711157093610333,"5.1676086379"
"P",24,80,0.1022392890625,0.04343124999375,"2.457155854"
"P",31,2.5,2.32815442575,1.01484251418443,"20.154314710125"
"P",31,10,1.271892655375,0.56828163842155,"19.892620992"
"P",31,22.5,0.404896421833333,0.169246704326333,"16.256579593075"
"P",31,80,0.0936028719375,0.039874823445375,"2.2985319089875"
"P",46,2.5,4.148148148,1.8152296295648,"14.16041064375"
"P",46,10,1.00476694925,0.4131601695316,"12.2483817865875"
"P",46,22.5,0.32438794725,0.128035922779575,"12.162009777225"
"P",46,45,0.347339924666667,0.1507802612978,"6.250968072075"
"P",46,80,0.15694150190625,0.0687560719851281,"3.841782005625"
"PF",15,2.5,1.36534839925,0.589420903956225,"19.6730720195625"
"PF",15,10,0.61546610175,0.256095444938175,"17.937632096475"
"PF",15,22.5,0.290489642166667,0.11878121468195,"17.345931522"
"PF",15,45,0.136358286208333,0.0588113288416542,"7.7707673054375"
"PF",15,80,0.13971280603125,0.0550887594181219,"3.5133395641875"
"PF",23,2.5,0.94915254225,0.41402033892945,"13.7324114536"
"PF",23,10,0.7866643125,0.32040837448125,"15.2542495809"
"PF",23,22.5,0.425808223416667,0.161381316674917,"12.8887786896"
"PF",23,45,0.181614877541667,0.0672519891536792,"8.5385175596"
"PF",23,80,0.06060204803125,0.0228893935414031,"2.4173049067625"
"PF",32,22.5,0.4996076585,0.2126330194576,"15.18365448765"
"PF",32,45,0.168549905875,0.073521468942675,"6.082357397425"
"PF",32,80,0.10740348403125,0.0430150953545156,"2.21898155045"
"PF",41,2.5,1.0054143125,0.46088192085,"13.434601747075"
"PF",41,10,0.53366290025,0.231449599838425,"16.97923870625"
"PF",41,22.5,0.220417451333333,0.0947133788379333,"4.9624655072"
"PF",41,45,0.127903327041667,0.0565204802197125,"2.810046404325"
"PF",41,80,0.0763006120625,0.0342818649996812,"NA"
