"year" "block" "plot" "trt" "depth" "point" "mass"
"2008" "4" "42" "CCW" "60" "45" 0.0466141005
"2008" "4" "42" "CCW" "100" "80" 0.0192486085
"2008" "4" "43" "CC" "5" "2.5" 0.0972187715
"2008" "4" "43" "CC" "15" "10" 0.1623833605
"2008" "4" "43" "CC" "30" "22.5" 0.136954516
"2008" "4" "43" "CC" "60" "45" 0.1280148425
"2008" "4" "43" "CC" "100" "80" 0.2008348795
"2008" "4" "44" "S2" "5" "2.5" 0.0174715215
"2008" "4" "44" "S2" "15" "10" 0.031240171
"2008" "4" "44" "S2" "30" "22.5" 0.027533948
"2008" "4" "44" "S2" "60" "45" 0.0113636365
"2008" "4" "44" "S2" "100" "80" 0.021799629
"2008" "4" "45" "C2" "5" "2.5" 0.0130934395
"2008" "4" "45" "C2" "15" "10" 0.0184662945
"2008" "4" "45" "C2" "30" "22.5" 0.0131665855
"2008" "4" "45" "C2" "60" "45" 0.060528757
"2008" "4" "45" "C2" "100" "80" 0.0106679035
"2008" "4" "46" "P" "5" "2.5" 1.460066678
"2008" "4" "46" "P" "15" "10" 0.740159926
"2008" "4" "46" "P" "30" "22.5" 0.9235572915
"2008" "4" "46" "P" "60" "45" 0.3525046385
"2008" "4" "46" "P" "100" "80" 0.1648886825
"2009" "1" "11" "C2" "5" "2.5" 0.0382749325
"2009" "1" "11" "C2" "15" "10" 0.094070081
"2009" "1" "11" "C2" "30" "22.5" 0.11114106025
"2009" "1" "11" "C2" "60" "45" 0.16103158925
"2009" "1" "11" "C2" "100" "80" 0.13042941775
"2009" "1" "12" "CC" "5" "2.5" 0.062848158
"2009" "1" "12" "CC" "15" "10" 0.1552560645
"2009" "1" "12" "CC" "30" "22.5" 0.15040431275
"2009" "1" "12" "CC" "60" "45" 0.208909181
"2009" "1" "12" "CC" "100" "80" 0.18534057275
"2009" "1" "13" "P" "5" "2.5" 2.71284815825
"2009" "1" "13" "P" "15" "10" 1.14797843675
"2009" "1" "13" "P" "30" "22.5" 0.53036837375
"2009" "1" "13" "P" "60" "45" 0.6913869695
"2009" "1" "13" "P" "100" "80" 0.49358341575
"2009" "1" "14" "CCW" "5" "2.5" 0.05592991925
"2009" "1" "14" "CCW" "15" "10" 0.08957771775
"2009" "1" "14" "CCW" "30" "22.5" 0.10166217425
"2009" "1" "14" "CCW" "60" "45" 0.29738400775
"2009" "1" "14" "CCW" "100" "80" 0.234081935
"2009" "1" "15" "PF" "5" "2.5" 1.790521114
"2009" "1" "15" "PF" "15" "10" 0.718328841
"2009" "1" "15" "PF" "30" "22.5" 0.30260557075
"2009" "1" "15" "PF" "60" "45" 0.41757156925
"2009" "1" "15" "PF" "100" "80" 0.360809477
"2009" "1" "16" "S2" "5" "2.5" 0.0578167115
"2009" "1" "16" "S2" "15" "10" 0.08638814
"2009" "1" "16" "S2" "30" "22.5" 0.07475292
"2009" "1" "16" "S2" "60" "45" 0.23704343525
"2009" "1" "16" "S2" "100" "80" 0.165720632
"2009" "2" "21" "CC" "5" "2.5" 0.04586702575
"2009" "2" "21" "CC" "15" "10" 0.1353998205
"2009" "2" "21" "CC" "30" "22.5" 0.14856244375
"2009" "2" "21" "CC" "60" "45" 0.22272951625
"2009" "2" "21" "CC" "100" "80" 0.17694965425
"2009" "2" "22" "S2" "5" "2.5" 0.029020665
"2009" "2" "22" "S2" "15" "10" 0.05840071875
"2009" "2" "22" "S2" "30" "22.5" 0.04595687325
"2009" "2" "22" "S2" "60" "45" 0.124259625
"2009" "2" "22" "S2" "100" "80" 0.173124383
"2009" "2" "23" "PF" "5" "2.5" 1.94128481575
"2009" "2" "23" "PF" "15" "10" 0.47964959575
"2009" "2" "23" "PF" "30" "22.5" 0.26428571425
"2009" "2" "23" "PF" "60" "45" 0.5214708785
"2009" "2" "23" "PF" "100" "80" 0.45915597225
"2009" "2" "24" "P" "5" "2.5" 4.62156334175
"2009" "2" "24" "P" "15" "10" 1.43032345025
"2009" "2" "24" "P" "30" "22.5" 0.50035938925
"2009" "2" "24" "P" "60" "45" 0.9253455085
"2009" "2" "24" "P" "100" "80" 0.482230997
"2009" "2" "25" "CCW" "5" "2.5" 0.03814016175
"2009" "2" "25" "CCW" "15" "10" 0.38176100625
"2009" "2" "25" "CCW" "30" "22.5" 0.18131177
"2009" "2" "25" "CCW" "60" "45" 0.24691510375
"2009" "2" "25" "CCW" "100" "80" 0.2749259625
"2009" "2" "26" "C2" "5" "2.5" 0.03364779875
"2009" "2" "26" "C2" "15" "10" 0.094294699
"2009" "2" "26" "C2" "30" "22.5" 0.0650943395
"2009" "2" "26" "C2" "60" "45" 0.18385982225
"2009" "2" "26" "C2" "100" "80" 0.12931885475
"2009" "3" "31" "P" "5" "2.5" 3.43791554375
"2009" "3" "31" "P" "15" "10" 0.80359389025
"2009" "3" "31" "P" "30" "22.5" 0.456199461
"2009" "3" "31" "P" "60" "45" 0.63943731475
"2009" "3" "31" "P" "100" "80" 0.46014313925
"2009" "3" "32" "PF" "5" "2.5" 1.21707097925
"2009" "3" "32" "PF" "15" "10" 0.89155435775
"2009" "3" "32" "PF" "30" "22.5" 0.4817610065
"2009" "3" "32" "PF" "60" "45" 0.77221125375
"2009" "3" "32" "PF" "100" "80" 0.56342546875
"2009" "3" "33" "C2" "5" "2.5" 0.03697214725
"2009" "3" "33" "C2" "15" "10" 0.126819407
"2009" "3" "33" "C2" "30" "22.5" 0.07497753825
"2009" "3" "33" "C2" "60" "45" 0.17263079975
"2009" "3" "33" "C2" "100" "80" 0.1129072065
"2009" "3" "34" "S2" "5" "2.5" 0.035175202
"2009" "3" "34" "S2" "15" "10" 0.0681491465
"2009" "3" "34" "S2" "30" "22.5" 0.06421832875
"2009" "3" "34" "S2" "60" "45" 0.2029861795
"2009" "3" "34" "S2" "100" "80" 0.12894866725
"2009" "3" "35" "CC" "5" "2.5" 0.15494159925
"2009" "3" "35" "CC" "15" "10" 0.284231806
"2009" "3" "35" "CC" "30" "22.5" 0.14447439325
"2009" "3" "35" "CC" "60" "45" 0.1710266535
"2009" "3" "35" "CC" "100" "80" 0.18385982225
"2009" "3" "36" "CCW" "5" "2.5" 0.43481581325
"2009" "3" "36" "CCW" "15" "10" 0.23800539075
"2009" "3" "36" "CCW" "30" "22.5" 0.15166217425
"2009" "3" "36" "CCW" "60" "45" 0.195212241
